Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,148.52999877929688,156.47000122070312,148.52999877929688,156.3000030517578,156.0224609375,14768500
2024-04-08,157.47000122070312,157.9499969482422,153.6999969482422,156.52000427246094,156.2420654296875,9588800
2024-04-09,156.1300048828125,157.8699951171875,150.92999267578125,154.49000549316406,154.21566772460938,8808800
2024-04-10,151.88999938964844,157.7899932861328,151.64999389648438,156.61000061035156,156.3319091796875,8075400
2024-04-11,157.07000732421875,158.44000244140625,154.75,157.67999267578125,157.39999389648438,6063200
2024-04-12,155.89999389648438,156.97999572753906,153.02999877929688,154.6300048828125,154.6300048828125,6846900
2024-04-15,157.1999969482422,158.69000244140625,152.69000244140625,153.6999969482422,153.6999969482422,6423700
2024-04-16,152.6999969482422,157.02000427246094,152.0,156.75999450683594,156.75999450683594,6187200
2024-04-17,158.0,158.67999267578125,153.6300048828125,155.6699981689453,155.6699981689453,6519900
2024-04-18,156.67999267578125,158.0,152.8800048828125,152.94000244140625,152.94000244140625,6186600
